subset,unit,cycle,lambda,parameter,theta_true_pct,theta_hat_pct
DS03,13,21,0.001,fan_eff_mod,0,-0
DS03,13,22,0.001,fan_eff_mod,0,-0
DS03,13,23,0.001,fan_eff_mod,0,-0
DS03,13,24,0.001,fan_eff_mod,0,-0
DS03,13,25,0.001,fan_eff_mod,0,-0
DS03,13,26,0.001,fan_eff_mod,0,-0
DS03,13,27,0.001,fan_eff_mod,0,-0
DS03,13,28,0.001,fan_eff_mod,0,-0
DS03,13,29,0.001,fan_eff_mod,0,-0
DS03,13,30,0.001,fan_eff_mod,0,-0
DS03,13,31,0.001,fan_eff_mod,0,-0
DS03,13,32,0.001,fan_eff_mod,0,-0
DS03,13,33,0.001,fan_eff_mod,0,-0
DS03,13,34,0.001,fan_eff_mod,0,-0
DS03,13,35,0.001,fan_eff_mod,0,-0
DS03,13,36,0.001,fan_eff_mod,0,-0
DS03,13,37,0.001,fan_eff_mod,0,-0
DS03,13,38,0.001,fan_eff_mod,0,-0
DS03,13,39,0.001,fan_eff_mod,0,-0
DS03,13,40,0.001,fan_eff_mod,0,-0
DS03,13,41,0.001,fan_eff_mod,0,-0
DS03,13,42,0.001,fan_eff_mod,0,-0
DS03,13,43,0.001,fan_eff_mod,0,-0
DS03,13,44,0.001,fan_eff_mod,0,-0
DS03,13,45,0.001,fan_eff_mod,0,-0
DS03,13,46,0.001,fan_eff_mod,0,-0
DS03,13,47,0.001,fan_eff_mod,0,-0
DS03,13,48,0.001,fan_eff_mod,0,-0
DS03,13,49,0.001,fan_eff_mod,0,-0
DS03,13,50,0.001,fan_eff_mod,0,-0
DS03,13,51,0.001,fan_eff_mod,0,-0
DS03,13,52,0.001,fan_eff_mod,0,-0
DS03,13,53,0.001,fan_eff_mod,0,-0
DS03,13,54,0.001,fan_eff_mod,0,-0
DS03,13,55,0.001,fan_eff_mod,0,-0
DS03,13,56,0.001,fan_eff_mod,0,-0
DS03,13,57,0.001,fan_eff_mod,0,-0
DS03,13,58,0.001,fan_eff_mod,0,-0
DS03,13,59,0.001,fan_eff_mod,0,-0
DS03,13,60,0.001,fan_eff_mod,0,-0
DS03,13,61,0.001,fan_eff_mod,0,-0
DS03,13,62,0.001,fan_eff_mod,0,-0
DS03,13,63,0.001,fan_eff_mod,0,-0
DS03,13,64,0.001,fan_eff_mod,0,-0
DS03,13,65,0.001,fan_eff_mod,0,-0
DS03,13,66,0.001,fan_eff_mod,0,-0
DS03,13,67,0.001,fan_eff_mod,0,-0
DS03,13,68,0.001,fan_eff_mod,0,-0
DS03,13,69,0.001,fan_eff_mod,0,-0
DS03,13,70,0.001,fan_eff_mod,0,-0
DS03,13,71,0.001,fan_eff_mod,0,-0
DS03,13,72,0.001,fan_eff_mod,0,-0
DS03,13,73,0.001,fan_eff_mod,0,-0
DS03,13,74,0.001,fan_eff_mod,0,-0
DS03,13,75,0.001,fan_eff_mod,0,-0
DS03,13,76,0.001,fan_eff_mod,0,-0
DS03,13,77,0.001,fan_eff_mod,0,-0
DS03,13,1,0.001,fan_flow_mod,0,-0
DS03,13,2,0.001,fan_flow_mod,0,-0
DS03,13,3,0.001,fan_flow_mod,0,-0
DS03,13,4,0.001,fan_flow_mod,0,-0
DS03,13,5,0.001,fan_flow_mod,0,-0
DS03,13,6,0.001,fan_flow_mod,0,-0
DS03,13,7,0.001,fan_flow_mod,0,-0
DS03,13,8,0.001,fan_flow_mod,0,-0
DS03,13,9,0.001,fan_flow_mod,0,-0
DS03,13,10,0.001,fan_flow_mod,0,-0
DS03,13,11,0.001,fan_flow_mod,0,-0
DS03,13,12,0.001,fan_flow_mod,0,-0
DS03,13,13,0.001,fan_flow_mod,0,-0
DS03,13,14,0.001,fan_flow_mod,0,-0
DS03,13,15,0.001,fan_flow_mod,0,-0
DS03,13,16,0.001,fan_flow_mod,0,-0
DS03,13,17,0.001,fan_flow_mod,0,-0
DS03,13,18,0.001,fan_flow_mod,0,-0
DS03,13,19,0.001,fan_flow_mod,0,-0
DS03,13,20,0.001,fan_flow_mod,0,-0
DS03,13,21,0.001,fan_flow_mod,0,-0
DS03,13,22,0.001,fan_flow_mod,0,-0
DS03,13,23,0.001,fan_flow_mod,0,-0
DS03,13,24,0.001,fan_flow_mod,0,-0
DS03,13,25,0.001,fan_flow_mod,0,-0
DS03,13,26,0.001,fan_flow_mod,0,-0
DS03,13,27,0.001,fan_flow_mod,0,-0
DS03,13,28,0.001,fan_flow_mod,0,-0
DS03,13,29,0.001,fan_flow_mod,0,-0
DS03,13,30,0.001,fan_flow_mod,0,-0
DS03,13,31,0.001,fan_flow_mod,0,-0
DS03,13,32,0.001,fan_flow_mod,0,-0
DS03,13,33,0.001,fan_flow_mod,0,-0
DS03,13,34,0.001,fan_flow_mod,0,-0
DS03,13,35,0.001,fan_flow_mod,0,-0
DS03,13,36,0.001,fan_flow_mod,0,-0
DS03,13,37,0.001,fan_flow_mod,0,-0
DS03,13,38,0.001,fan_flow_mod,0,-0
DS03,13,39,0.001,fan_flow_mod,0,-0
DS03,13,40,0.001,fan_flow_mod,0,-0
DS03,13,41,0.001,fan_flow_mod,0,-0
DS03,13,42,0.001,fan_flow_mod,0,-0
DS03,13,43,0.001,fan_flow_mod,0,-0
DS03,13,44,0.001,fan_flow_mod,0,-0
DS03,13,45,0.001,fan_flow_mod,0,-0
DS03,13,46,0.001,fan_flow_mod,0,-0
DS03,13,47,0.001,fan_flow_mod,0,-0
DS03,13,48,0.001,fan_flow_mod,0,-0
DS03,13,49,0.001,fan_flow_mod,0,-0
DS03,13,50,0.001,fan_flow_mod,0,-0
DS03,13,51,0.001,fan_flow_mod,0,-0
DS03,13,52,0.001,fan_flow_mod,0,-0
DS03,13,53,0.001,fan_flow_mod,0,-0
DS03,13,54,0.001,fan_flow_mod,0,-0
DS03,13,55,0.001,fan_flow_mod,0,-0
DS03,13,56,0.001,fan_flow_mod,0,-0
DS03,13,57,0.001,fan_flow_mod,0,-0
DS03,13,58,0.001,fan_flow_mod,0,-0
DS03,13,59,0.001,fan_flow_mod,0,-0
DS03,13,60,0.001,fan_flow_mod,0,-0
DS03,13,61,0.001,fan_flow_mod,0,-0
DS03,13,62,0.001,fan_flow_mod,0,-0
DS03,13,63,0.001,fan_flow_mod,0,-0
DS03,13,64,0.001,fan_flow_mod,0,-0
DS03,13,65,0.001,fan_flow_mod,0,-0
DS03,13,66,0.001,fan_flow_mod,0,-0
DS03,13,67,0.001,fan_flow_mod,0,-0
DS03,13,68,0.001,fan_flow_mod,0,-0.00562487915579447
DS03,13,69,0.001,fan_flow_mod,0,-0.00562487915579447
DS03,13,70,0.001,fan_flow_mod,0,-0.00562487915579447
DS03,13,71,0.001,fan_flow_mod,0,-0.0194662307147766
DS03,13,72,0.001,fan_flow_mod,0,-0.0194662307147766
DS03,13,73,0.001,fan_flow_mod,0,-0.0194662307147766
DS03,13,74,0.001,fan_flow_mod,0,-0.0194662307147766
DS03,13,75,0.001,fan_flow_mod,0,-0.0194662307147766
DS03,13,76,0.001,fan_flow_mod,0,-0.0194662307147766
DS03,13,77,0.001,fan_flow_mod,0,-0.0194662307147766
DS03,13,1,0.001,HPC_eff_mod,0,-0
DS03,13,2,0.001,HPC_eff_mod,0,-0
DS03,13,3,0.001,HPC_eff_mod,0,-0
DS03,13,4,0.001,HPC_eff_mod,0,-0
DS03,13,5,0.001,HPC_eff_mod,0,-0
DS03,13,6,0.001,HPC_eff_mod,0,-0
DS03,13,7,0.001,HPC_eff_mod,0,-0
DS03,13,8,0.001,HPC_eff_mod,0,-0
DS03,13,9,0.001,HPC_eff_mod,0,-0
DS03,13,10,0.001,HPC_eff_mod,0,-0
DS03,13,11,0.001,HPC_eff_mod,0,-0
DS03,13,12,0.001,HPC_eff_mod,0,-0
DS03,13,13,0.001,HPC_eff_mod,0,-0
DS03,13,14,0.001,HPC_eff_mod,0,-0
DS03,13,15,0.001,HPC_eff_mod,0,-0
DS03,13,16,0.001,HPC_eff_mod,0,-0
DS03,13,17,0.001,HPC_eff_mod,0,-0
DS03,13,18,0.001,HPC_eff_mod,0,-0
DS03,13,19,0.001,HPC_eff_mod,0,-0
DS03,13,20,0.001,HPC_eff_mod,0,-0
DS03,13,21,0.001,HPC_eff_mod,0,-0
DS03,13,22,0.001,HPC_eff_mod,0,-0
DS03,13,23,0.001,HPC_eff_mod,0,-0
DS03,13,24,0.001,HPC_eff_mod,0,-0
DS03,13,25,0.001,HPC_eff_mod,0,-0
DS03,13,26,0.001,HPC_eff_mod,0,-0
DS03,13,27,0.001,HPC_eff_mod,0,-0
DS03,13,28,0.001,HPC_eff_mod,0,-0
DS03,13,29,0.001,HPC_eff_mod,0,-0
DS03,13,30,0.001,HPC_eff_mod,0,-0
DS03,13,31,0.001,HPC_eff_mod,0,-0
DS03,13,32,0.001,HPC_eff_mod,0,-0
DS03,13,33,0.001,HPC_eff_mod,0,-0
DS03,13,34,0.001,HPC_eff_mod,0,-0
DS03,13,35,0.001,HPC_eff_mod,0,-0
DS03,13,36,0.001,HPC_eff_mod,0,-0
DS03,13,37,0.001,HPC_eff_mod,0,-0
DS03,13,38,0.001,HPC_eff_mod,0,-0
DS03,13,39,0.001,HPC_eff_mod,0,-0
DS03,13,40,0.001,HPC_eff_mod,0,-0
DS03,13,41,0.001,HPC_eff_mod,0,-0
DS03,13,42,0.001,HPC_eff_mod,0,-0
DS03,13,43,0.001,HPC_eff_mod,0,-0
DS03,13,44,0.001,HPC_eff_mod,0,-0
DS03,13,45,0.001,HPC_eff_mod,0,-0
DS03,13,46,0.001,HPC_eff_mod,0,-0
DS03,13,47,0.001,HPC_eff_mod,0,-0
DS03,13,48,0.001,HPC_eff_mod,0,-0
DS03,13,49,0.001,HPC_eff_mod,0,-0
DS03,13,50,0.001,HPC_eff_mod,0,-0
DS03,13,51,0.001,HPC_eff_mod,0,-0
DS03,13,52,0.001,HPC_eff_mod,0,-0
DS03,13,53,0.001,HPC_eff_mod,0,-0
DS03,13,54,0.001,HPC_eff_mod,0,-0
DS03,13,55,0.001,HPC_eff_mod,0,-0
DS03,13,56,0.001,HPC_eff_mod,0,-0
DS03,13,57,0.001,HPC_eff_mod,0,-0
DS03,13,58,0.001,HPC_eff_mod,0,-0
DS03,13,59,0.001,HPC_eff_mod,0,-0
DS03,13,60,0.001,HPC_eff_mod,0,-0
DS03,13,61,0.001,HPC_eff_mod,0,-0
DS03,13,62,0.001,HPC_eff_mod,0,-0
DS03,13,63,0.001,HPC_eff_mod,0,-0
DS03,13,64,0.001,HPC_eff_mod,0,-0
DS03,13,65,0.001,HPC_eff_mod,0,-0
DS03,13,66,0.001,HPC_eff_mod,0,-0
DS03,13,67,0.001,HPC_eff_mod,0,-0
DS03,13,68,0.001,HPC_eff_mod,0,-0
DS03,13,69,0.001,HPC_eff_mod,0,-0
DS03,13,70,0.001,HPC_eff_mod,0,-0
DS03,13,71,0.001,HPC_eff_mod,0,-0
DS03,13,72,0.001,HPC_eff_mod,0,-0
DS03,13,73,0.001,HPC_eff_mod,0,-0
DS03,13,74,0.001,HPC_eff_mod,0,-0
DS03,13,75,0.001,HPC_eff_mod,0,-0
DS03,13,76,0.001,HPC_eff_mod,0,-0
DS03,13,77,0.001,HPC_eff_mod,0,-0
DS03,13,1,0.001,HPC_flow_mod,0,-0
DS03,13,2,0.001,HPC_flow_mod,0,-0
DS03,13,3,0.001,HPC_flow_mod,0,-0
DS03,13,4,0.001,HPC_flow_mod,0,-0
DS03,13,5,0.001,HPC_flow_mod,0,-0
DS03,13,6,0.001,HPC_flow_mod,0,-0
DS03,13,7,0.001,HPC_flow_mod,0,-0
DS03,13,8,0.001,HPC_flow_mod,0,-0
DS03,13,9,0.001,HPC_flow_mod,0,-0
DS03,13,10,0.001,HPC_flow_mod,0,-0
DS03,13,11,0.001,HPC_flow_mod,0,-0
DS03,13,12,0.001,HPC_flow_mod,0,-0
DS03,13,13,0.001,HPC_flow_mod,0,-0
DS03,13,14,0.001,HPC_flow_mod,0,-0
DS03,13,15,0.001,HPC_flow_mod,0,-0
DS03,13,16,0.001,HPC_flow_mod,0,-0
DS03,13,17,0.001,HPC_flow_mod,0,-0
DS03,13,18,0.001,HPC_flow_mod,0,-0
DS03,13,19,0.001,HPC_flow_mod,0,-0
DS03,13,20,0.001,HPC_flow_mod,0,-0
DS03,13,21,0.001,HPC_flow_mod,0,-0
DS03,13,22,0.001,HPC_flow_mod,0,-0
DS03,13,23,0.001,HPC_flow_mod,0,-0
DS03,13,24,0.001,HPC_flow_mod,0,-0
DS03,13,25,0.001,HPC_flow_mod,0,-0
DS03,13,26,0.001,HPC_flow_mod,0,-0
DS03,13,27,0.001,HPC_flow_mod,0,-0
DS03,13,28,0.001,HPC_flow_mod,0,-0
DS03,13,29,0.001,HPC_flow_mod,0,-0
DS03,13,30,0.001,HPC_flow_mod,0,-0
DS03,13,31,0.001,HPC_flow_mod,0,-0
DS03,13,32,0.001,HPC_flow_mod,0,-0
DS03,13,33,0.001,HPC_flow_mod,0,-0
DS03,13,34,0.001,HPC_flow_mod,0,-0
DS03,13,35,0.001,HPC_flow_mod,0,-0
DS03,13,36,0.001,HPC_flow_mod,0,-0
DS03,13,37,0.001,HPC_flow_mod,0,-0
DS03,13,38,0.001,HPC_flow_mod,0,-0
DS03,13,39,0.001,HPC_flow_mod,0,-0
DS03,13,40,0.001,HPC_flow_mod,0,-0
DS03,13,41,0.001,HPC_flow_mod,0,-0
DS03,13,42,0.001,HPC_flow_mod,0,-0
DS03,13,43,0.001,HPC_flow_mod,0,-0
DS03,13,44,0.001,HPC_flow_mod,0,-0
DS03,13,45,0.001,HPC_flow_mod,0,-0
DS03,13,46,0.001,HPC_flow_mod,0,-0
DS03,13,47,0.001,HPC_flow_mod,0,-0
DS03,13,48,0.001,HPC_flow_mod,0,-0
DS03,13,49,0.001,HPC_flow_mod,0,-0
DS03,13,50,0.001,HPC_flow_mod,0,-0
DS03,13,51,0.001,HPC_flow_mod,0,-0
DS03,13,52,0.001,HPC_flow_mod,0,-0
DS03,13,53,0.001,HPC_flow_mod,0,-0
DS03,13,54,0.001,HPC_flow_mod,0,-0
DS03,13,55,0.001,HPC_flow_mod,0,-0
DS03,13,56,0.001,HPC_flow_mod,0,-0
DS03,13,57,0.001,HPC_flow_mod,0,-0
DS03,13,58,0.001,HPC_flow_mod,0,-0
DS03,13,59,0.001,HPC_flow_mod,0,-0
DS03,13,60,0.001,HPC_flow_mod,0,-0
DS03,13,61,0.001,HPC_flow_mod,0,-0
DS03,13,62,0.001,HPC_flow_mod,0,-0
DS03,13,63,0.001,HPC_flow_mod,0,-0
DS03,13,64,0.001,HPC_flow_mod,0,-0
DS03,13,65,0.001,HPC_flow_mod,0,-0
DS03,13,66,0.001,HPC_flow_mod,0,-0
DS03,13,67,0.001,HPC_flow_mod,0,-0
DS03,13,68,0.001,HPC_flow_mod,0,-0
DS03,13,69,0.001,HPC_flow_mod,0,-0
DS03,13,70,0.001,HPC_flow_mod,0,-0
DS03,13,71,0.001,HPC_flow_mod,0,-0
DS03,13,72,0.001,HPC_flow_mod,0,-0
DS03,13,73,0.001,HPC_flow_mod,0,-0
DS03,13,74,0.001,HPC_flow_mod,0,-0
DS03,13,75,0.001,HPC_flow_mod,0,-0
DS03,13,76,0.001,HPC_flow_mod,0,-0
DS03,13,77,0.001,HPC_flow_mod,0,-0.00139191510794426
DS03,13,1,0.001,LPT_eff_mod,-0.002177481165287,-0
DS03,13,2,0.001,LPT_eff_mod,0.0083343905384309,-0
DS03,13,3,0.001,LPT_eff_mod,-0.0061569093731431,-0.00942642192694231
DS03,13,4,0.001,LPT_eff_mod,-0.0284481779679321,-0.00942642192694231
DS03,13,5,0.001,LPT_eff_mod,-0.0061494541100887,-0.00942642192694231
DS03,13,6,0.001,LPT_eff_mod,-0.0314959310015934,-0.0141830661729639
DS03,13,7,0.001,LPT_eff_mod,-0.0058838741776575,-0.0141830661729639
DS03,13,8,0.001,LPT_eff_mod,-0.0332829799429617,-0.0141830661729639
DS03,13,9,0.001,LPT_eff_mod,-0.00124956654957339,-0.039551716193464
DS03,13,10,0.001,LPT_eff_mod,-0.0043478166066835,-0.039551716193464
DS03,13,11,0.001,LPT_eff_mod,-0.0229932120056607,-0.039551716193464
DS03,13,12,0.001,LPT_eff_mod,-0.0447491917383065,-0.039551716193464
DS03,13,13,0.001,LPT_eff_mod,-0.0453965727527505,-0.039551716193464
DS03,13,14,0.001,LPT_eff_mod,-0.0320148101531758,-0.039551716193464
DS03,13,15,0.001,LPT_eff_mod,-0.0462548267310865,-0.039551716193464
DS03,13,16,0.001,LPT_eff_mod,-0.0290045283873191,-0.039551716193464
DS03,13,17,0.001,LPT_eff_mod,-0.0393695145788295,-0.0547226616544351
DS03,13,18,0.001,LPT_eff_mod,-0.0232340281632088,-0.0668628825966729
DS03,13,19,0.001,LPT_eff_mod,-0.0646539621626375,-0.0668628825966729
DS03,13,20,0.001,LPT_eff_mod,-0.0539451110768865,-0.0668628825966729
DS03,13,21,0.001,LPT_eff_mod,-0.0760535607313975,-0.0853941637375
DS03,13,22,0.001,LPT_eff_mod,-0.0553946329699865,-0.0853941637375
DS03,13,23,0.001,LPT_eff_mod,-0.0714157763458595,-0.0853941637375
DS03,13,24,0.001,LPT_eff_mod,-0.0741577366229395,-0.0853941637375
DS03,13,25,0.001,LPT_eff_mod,-0.0887616284866105,-0.0853941637375
DS03,13,26,0.001,LPT_eff_mod,-0.0982142280683335,-0.0853941637375
DS03,13,27,0.001,LPT_eff_mod,-0.102158969881293,-0.134021686252561
DS03,13,28,0.001,LPT_eff_mod,-0.103065631195519,-0.134021686252561
DS03,13,29,0.001,LPT_eff_mod,-0.105811806767607,-0.134021686252561
DS03,13,30,0.001,LPT_eff_mod,-0.112179520523434,-0.134021686252561
DS03,13,31,0.001,LPT_eff_mod,-0.114827700962218,-0.170644749569499
DS03,13,32,0.001,LPT_eff_mod,-0.119537291308321,-0.207379880767165
DS03,13,33,0.001,LPT_eff_mod,-0.144972777304834,-0.207379880767165
DS03,13,34,0.001,LPT_eff_mod,-0.167164730734683,-0.224924331469122
DS03,13,35,0.001,LPT_eff_mod,-0.171070034636664,-0.228858686352117
DS03,13,36,0.001,LPT_eff_mod,-0.17822552869857,-0.228858686352117
DS03,13,37,0.001,LPT_eff_mod,-0.184794456418505,-0.269701660260217
DS03,13,38,0.001,LPT_eff_mod,-0.183114476399233,-0.269701660260217
DS03,13,39,0.001,LPT_eff_mod,-0.213915924887307,-0.297133303360965
DS03,13,40,0.001,LPT_eff_mod,-0.207972982868639,-0.297133303360965
DS03,13,41,0.001,LPT_eff_mod,-0.238049507704161,-0.297133303360965
DS03,13,42,0.001,LPT_eff_mod,-0.23989413444665,-0.357565952027313
DS03,13,43,0.001,LPT_eff_mod,-0.279859671449229,-0.357565952027313
DS03,13,44,0.001,LPT_eff_mod,-0.304562580702393,-0.438412078452852
DS03,13,45,0.001,LPT_eff_mod,-0.288227950992988,-0.438412078452852
DS03,13,46,0.001,LPT_eff_mod,-0.330322945293252,-0.466026696336828
DS03,13,47,0.001,LPT_eff_mod,-0.322964354022989,-0.47090192125479
DS03,13,48,0.001,LPT_eff_mod,-0.363698449428941,-0.579343758164779
DS03,13,49,0.001,LPT_eff_mod,-0.394566537447987,-0.579511132047985
DS03,13,50,0.001,LPT_eff_mod,-0.412289293069821,-0.579511132047985
DS03,13,51,0.001,LPT_eff_mod,-0.430637513928793,-0.603954233882204
DS03,13,52,0.001,LPT_eff_mod,-0.450571107057751,-0.603954233882204
DS03,13,53,0.001,LPT_eff_mod,-0.481088269568977,-0.637326917696763
DS03,13,54,0.001,LPT_eff_mod,-0.526301939264853,-0.776538145311596
DS03,13,55,0.001,LPT_eff_mod,-0.528717945418172,-0.776538145311596
DS03,13,56,0.001,LPT_eff_mod,-0.599360886578067,-0.79916730882245
DS03,13,57,0.001,LPT_eff_mod,-0.611004311566742,-0.906231902636324
DS03,13,58,0.001,LPT_eff_mod,-0.659648562155183,-0.9605600440267
DS03,13,59,0.001,LPT_eff_mod,-0.71937555639846,-0.9605600440267
DS03,13,60,0.001,LPT_eff_mod,-0.759348498075407,-1.03217085187065
DS03,13,61,0.001,LPT_eff_mod,-0.808320710413902,-1.07359901265817
DS03,13,62,0.001,LPT_eff_mod,-0.859677283313996,-1.19635939129764
DS03,13,63,0.001,LPT_eff_mod,-0.926000776736272,-1.23260126192963
DS03,13,64,0.001,LPT_eff_mod,-0.951891853744744,-1.23260126192963
DS03,13,65,0.001,LPT_eff_mod,-1.02788796883862,-1.45893509243536
DS03,13,66,0.001,LPT_eff_mod,-1.08967603570535,-1.45893509243536
DS03,13,67,0.001,LPT_eff_mod,-1.15375306280724,-1.66014454159882
DS03,13,68,0.001,LPT_eff_mod,-1.22424354301456,-1.66014454159882
DS03,13,69,0.001,LPT_eff_mod,-1.30129254251947,-1.8230259983621
DS03,13,70,0.001,LPT_eff_mod,-1.3838478458588,-1.8962745034466
DS03,13,71,0.001,LPT_eff_mod,-1.47207603157283,-1.8962745034466
DS03,13,72,0.001,LPT_eff_mod,-1.57249601370962,-1.92416309145749
DS03,13,73,0.001,LPT_eff_mod,-1.65758647947706,-2.40438944927534
DS03,13,74,0.001,LPT_eff_mod,-1.77939555414599,-2.50950392059314
DS03,13,75,0.001,LPT_eff_mod,-1.90172556393517,-2.72531912388203
