regime,subset,unit,arm,component,parameter,terminal_abs,is_fault
in_dist,DS07_id,5,truth,4,HPC_eff_mod,NaN,0
in_dist,DS07_id,5,Z_zero,4,HPC_eff_mod,0,0
in_dist,DS07_id,5,truth,5,HPC_flow_mod,NaN,0
in_dist,DS07_id,5,Z_zero,5,HPC_flow_mod,0,0
in_dist,DS07_id,5,truth,6,LPT_eff_mod,0.127594759885386,1
in_dist,DS07_id,5,Z_zero,6,LPT_eff_mod,0,1
in_dist,DS07_id,5,truth,7,LPT_flow_mod,0.60561776592039,1
in_dist,DS07_id,5,Z_zero,7,LPT_flow_mod,0,1
in_dist,DS07_id,5,truth,8,LPC_eff_mod,NaN,0
in_dist,DS07_id,5,Z_zero,8,LPC_eff_mod,0,0
in_dist,DS07_id,5,truth,9,LPC_flow_mod,NaN,0
in_dist,DS07_id,5,Z_zero,9,LPC_flow_mod,0,0
in_dist,DS07_id,6,truth,1,HPT_eff_mod,NaN,0
in_dist,DS07_id,6,Z_zero,1,HPT_eff_mod,0,0
in_dist,DS07_id,6,truth,2,fan_eff_mod,NaN,0
in_dist,DS07_id,6,Z_zero,2,fan_eff_mod,0,0
in_dist,DS07_id,6,truth,3,fan_flow_mod,NaN,0
in_dist,DS07_id,6,Z_zero,3,fan_flow_mod,0,0
in_dist,DS07_id,6,truth,4,HPC_eff_mod,NaN,0
in_dist,DS07_id,6,Z_zero,4,HPC_eff_mod,0,0
in_dist,DS07_id,6,truth,5,HPC_flow_mod,NaN,0
in_dist,DS07_id,6,Z_zero,5,HPC_flow_mod,0,0
in_dist,DS07_id,6,truth,6,LPT_eff_mod,0.458750149690716,1
in_dist,DS07_id,6,Z_zero,6,LPT_eff_mod,0,1
in_dist,DS07_id,6,truth,7,LPT_flow_mod,0.672909900691046,1
in_dist,DS07_id,6,Z_zero,7,LPT_flow_mod,0,1
in_dist,DS07_id,6,truth,8,LPC_eff_mod,NaN,0
in_dist,DS07_id,6,Z_zero,8,LPC_eff_mod,0,0
in_dist,DS07_id,6,truth,9,LPC_flow_mod,NaN,0
in_dist,DS07_id,6,Z_zero,9,LPC_flow_mod,0,0
ood_combo,DS02,11,truth,1,HPT_eff_mod,0.513900731844738,1
ood_combo,DS02,11,Z_zero,1,HPT_eff_mod,0,1
ood_combo,DS02,11,truth,2,fan_eff_mod,NaN,0
ood_combo,DS02,11,Z_zero,2,fan_eff_mod,0,0
ood_combo,DS02,11,truth,3,fan_flow_mod,NaN,0
ood_combo,DS02,11,Z_zero,3,fan_flow_mod,0,0
ood_combo,DS02,11,truth,4,HPC_eff_mod,NaN,0
ood_combo,DS02,11,Z_zero,4,HPC_eff_mod,0,0
ood_combo,DS02,11,truth,5,HPC_flow_mod,NaN,0
ood_combo,DS02,11,Z_zero,5,HPC_flow_mod,0,0
ood_combo,DS02,11,truth,6,LPT_eff_mod,0.104781917454507,1
ood_combo,DS02,11,Z_zero,6,LPT_eff_mod,0,1
ood_combo,DS02,11,truth,7,LPT_flow_mod,0.289731424570214,1
ood_combo,DS02,11,Z_zero,7,LPT_flow_mod,0,1
ood_combo,DS02,11,truth,8,LPC_eff_mod,NaN,0
ood_combo,DS02,11,Z_zero,8,LPC_eff_mod,0,0
ood_combo,DS02,11,truth,9,LPC_flow_mod,NaN,0
ood_combo,DS02,11,Z_zero,9,LPC_flow_mod,0,0
ood_combo,DS02,14,truth,1,HPT_eff_mod,0.280881114838242,1
ood_combo,DS02,14,Z_zero,1,HPT_eff_mod,0,1
ood_combo,DS02,14,truth,2,fan_eff_mod,NaN,0
ood_combo,DS02,14,Z_zero,2,fan_eff_mod,0,0
ood_combo,DS02,14,truth,3,fan_flow_mod,NaN,0
ood_combo,DS02,14,Z_zero,3,fan_flow_mod,0,0
ood_combo,DS02,14,truth,4,HPC_eff_mod,NaN,0
ood_combo,DS02,14,Z_zero,4,HPC_eff_mod,0,0
ood_combo,DS02,14,truth,5,HPC_flow_mod,NaN,0
ood_combo,DS02,14,Z_zero,5,HPC_flow_mod,0,0
ood_combo,DS02,14,truth,6,LPT_eff_mod,0.196801540284362,1
ood_combo,DS02,14,Z_zero,6,LPT_eff_mod,0,1
ood_combo,DS02,14,truth,7,LPT_flow_mod,0.477409492870848,1
ood_combo,DS02,14,Z_zero,7,LPT_flow_mod,0,1
ood_combo,DS02,14,truth,8,LPC_eff_mod,NaN,0
ood_combo,DS02,14,Z_zero,8,LPC_eff_mod,0,0
ood_combo,DS02,14,truth,9,LPC_flow_mod,NaN,0
ood_combo,DS02,14,Z_zero,9,LPC_flow_mod,0,0
ood_combo,DS02,15,truth,1,HPT_eff_mod,0.442942462790818,1
ood_combo,DS02,15,Z_zero,1,HPT_eff_mod,0,1
ood_combo,DS02,15,truth,2,fan_eff_mod,NaN,0
ood_combo,DS02,15,Z_zero,2,fan_eff_mod,0,0
ood_combo,DS02,15,truth,3,fan_flow_mod,NaN,0
ood_combo,DS02,15,Z_zero,3,fan_flow_mod,0,0
ood_combo,DS02,15,truth,4,HPC_eff_mod,NaN,0
ood_combo,DS02,15,Z_zero,4,HPC_eff_mod,0,0
ood_combo,DS02,15,truth,5,HPC_flow_mod,NaN,0
ood_combo,DS02,15,Z_zero,5,HPC_flow_mod,0,0
ood_combo,DS02,15,truth,6,LPT_eff_mod,0.246081894444997,1
ood_combo,DS02,15,Z_zero,6,LPT_eff_mod,0,1
ood_combo,DS02,15,truth,7,LPT_flow_mod,0.253304064493808,1
ood_combo,DS02,15,Z_zero,7,LPT_flow_mod,0,1
ood_combo,DS02,15,truth,8,LPC_eff_mod,NaN,0
ood_combo,DS02,15,Z_zero,8,LPC_eff_mod,0,0
ood_combo,DS02,15,truth,9,LPC_flow_mod,NaN,0
ood_combo,DS02,15,Z_zero,9,LPC_flow_mod,0,0
ood_combo,DS03,10,truth,1,HPT_eff_mod,0.342407012707295,1
ood_combo,DS03,10,Z_zero,1,HPT_eff_mod,0,1
ood_combo,DS03,10,truth,2,fan_eff_mod,NaN,0
ood_combo,DS03,10,Z_zero,2,fan_eff_mod,0,0
ood_combo,DS03,10,truth,3,fan_flow_mod,NaN,0
ood_combo,DS03,10,Z_zero,3,fan_flow_mod,0,0
ood_combo,DS03,10,truth,4,HPC_eff_mod,NaN,0
ood_combo,DS03,10,Z_zero,4,HPC_eff_mod,0,0
ood_combo,DS03,10,truth,5,HPC_flow_mod,NaN,0
ood_combo,DS03,10,Z_zero,5,HPC_flow_mod,0,0
ood_combo,DS03,10,truth,6,LPT_eff_mod,0.497528719383612,1
ood_combo,DS03,10,Z_zero,6,LPT_eff_mod,0,1
ood_combo,DS03,10,truth,7,LPT_flow_mod,0.154155727451505,1
ood_combo,DS03,10,Z_zero,7,LPT_flow_mod,0,1
ood_combo,DS03,10,truth,8,LPC_eff_mod,NaN,0
ood_combo,DS03,10,Z_zero,8,LPC_eff_mod,0,0
ood_combo,DS03,10,truth,9,LPC_flow_mod,NaN,0
ood_combo,DS03,10,Z_zero,9,LPC_flow_mod,0,0
ood_combo,DS03,11,truth,1,HPT_eff_mod,0.513900731844738,1
ood_combo,DS03,11,Z_zero,1,HPT_eff_mod,0,1
ood_combo,DS03,11,truth,2,fan_eff_mod,NaN,0
ood_combo,DS03,11,Z_zero,2,fan_eff_mod,0,0
ood_combo,DS03,11,truth,3,fan_flow_mod,NaN,0
ood_combo,DS03,11,Z_zero,3,fan_flow_mod,0,0
ood_combo,DS03,11,truth,4,HPC_eff_mod,NaN,0
ood_combo,DS03,11,Z_zero,4,HPC_eff_mod,0,0
ood_combo,DS03,11,truth,5,HPC_flow_mod,NaN,0
ood_combo,DS03,11,Z_zero,5,HPC_flow_mod,0,0
ood_combo,DS03,11,truth,6,LPT_eff_mod,0.104781917454507,1
ood_combo,DS03,11,Z_zero,6,LPT_eff_mod,0,1
ood_combo,DS03,11,truth,7,LPT_flow_mod,0.289731424570214,1
ood_combo,DS03,11,Z_zero,7,LPT_flow_mod,0,1
ood_combo,DS03,11,truth,8,LPC_eff_mod,NaN,0
ood_combo,DS03,11,Z_zero,8,LPC_eff_mod,0,0
ood_combo,DS03,11,truth,9,LPC_flow_mod,NaN,0
ood_combo,DS03,11,Z_zero,9,LPC_flow_mod,0,0
ood_combo,DS03,12,truth,1,HPT_eff_mod,0.471018493749785,1
ood_combo,DS03,12,Z_zero,1,HPT_eff_mod,0,1
ood_combo,DS03,12,truth,2,fan_eff_mod,NaN,0
ood_combo,DS03,12,Z_zero,2,fan_eff_mod,0,0
ood_combo,DS03,12,truth,3,fan_flow_mod,NaN,0
ood_combo,DS03,12,Z_zero,3,fan_flow_mod,0,0
ood_combo,DS03,12,truth,4,HPC_eff_mod,NaN,0
ood_combo,DS03,12,Z_zero,4,HPC_eff_mod,0,0
ood_combo,DS03,12,truth,5,HPC_flow_mod,NaN,0
ood_combo,DS03,12,Z_zero,5,HPC_flow_mod,0,0
ood_combo,DS03,12,truth,6,LPT_eff_mod,0.162675660464295,1
ood_combo,DS03,12,Z_zero,6,LPT_eff_mod,0,1
ood_combo,DS03,12,truth,7,LPT_flow_mod,0.188421591813759,1
ood_combo,DS03,12,Z_zero,7,LPT_flow_mod,0,1
ood_combo,DS03,12,truth,8,LPC_eff_mod,NaN,0
ood_combo,DS03,12,Z_zero,8,LPC_eff_mod,0,0
ood_combo,DS03,12,truth,9,LPC_flow_mod,NaN,0
ood_combo,DS03,12,Z_zero,9,LPC_flow_mod,0,0
ood_combo,DS03,13,truth,1,HPT_eff_mod,0.348023487504151,1
ood_combo,DS03,13,Z_zero,1,HPT_eff_mod,0,1
ood_combo,DS03,13,truth,2,fan_eff_mod,NaN,0
ood_combo,DS03,13,Z_zero,2,fan_eff_mod,0,0
ood_combo,DS03,13,truth,3,fan_flow_mod,NaN,0
ood_combo,DS03,13,Z_zero,3,fan_flow_mod,0,0
ood_combo,DS03,13,truth,4,HPC_eff_mod,NaN,0
ood_combo,DS03,13,Z_zero,4,HPC_eff_mod,0,0
ood_combo,DS03,13,truth,5,HPC_flow_mod,NaN,0
ood_combo,DS03,13,Z_zero,5,HPC_flow_mod,0,0
ood_combo,DS03,13,truth,6,LPT_eff_mod,0.474799971490172,1
ood_combo,DS03,13,Z_zero,6,LPT_eff_mod,0,1
ood_combo,DS03,13,truth,7,LPT_flow_mod,0.146488540733167,1
ood_combo,DS03,13,Z_zero,7,LPT_flow_mod,0,1
ood_combo,DS03,13,truth,8,LPC_eff_mod,NaN,0
ood_combo,DS03,13,Z_zero,8,LPC_eff_mod,0,0
ood_combo,DS03,13,truth,9,LPC_flow_mod,NaN,0
ood_combo,DS03,13,Z_zero,9,LPC_flow_mod,0,0
ood_combo,DS03,14,truth,1,HPT_eff_mod,0.280881114838242,1
ood_combo,DS03,14,Z_zero,1,HPT_eff_mod,0,1
ood_combo,DS03,14,truth,2,fan_eff_mod,NaN,0
ood_combo,DS03,14,Z_zero,2,fan_eff_mod,0,0
ood_combo,DS03,14,truth,3,fan_flow_mod,NaN,0
ood_combo,DS03,14,Z_zero,3,fan_flow_mod,0,0
ood_combo,DS03,14,truth,4,HPC_eff_mod,NaN,0
ood_combo,DS03,14,Z_zero,4,HPC_eff_mod,0,0
ood_combo,DS03,14,truth,5,HPC_flow_mod,NaN,0
ood_combo,DS03,14,Z_zero,5,HPC_flow_mod,0,0
ood_combo,DS03,14,truth,6,LPT_eff_mod,0.196801540284362,1
ood_combo,DS03,14,Z_zero,6,LPT_eff_mod,0,1
ood_combo,DS03,14,truth,7,LPT_flow_mod,0.477409492870848,1
ood_combo,DS03,14,Z_zero,7,LPT_flow_mod,0,1
ood_combo,DS03,14,truth,8,LPC_eff_mod,NaN,0
ood_combo,DS03,14,Z_zero,8,LPC_eff_mod,0,0
ood_combo,DS03,14,truth,9,LPC_flow_mod,NaN,0
ood_combo,DS03,14,Z_zero,9,LPC_flow_mod,0,0
ood_combo,DS03,15,truth,1,HPT_eff_mod,0.442942462790818,1
ood_combo,DS03,15,Z_zero,1,HPT_eff_mod,0,1
ood_combo,DS03,15,truth,2,fan_eff_mod,NaN,0
ood_combo,DS03,15,Z_zero,2,fan_eff_mod,0,0
ood_combo,DS03,15,truth,3,fan_flow_mod,NaN,0
ood_combo,DS03,15,Z_zero,3,fan_flow_mod,0,0
ood_combo,DS03,15,truth,4,HPC_eff_mod,NaN,0
ood_combo,DS03,15,Z_zero,4,HPC_eff_mod,0,0
ood_combo,DS03,15,truth,5,HPC_flow_mod,NaN,0
ood_combo,DS03,15,Z_zero,5,HPC_flow_mod,0,0
ood_combo,DS03,15,truth,6,LPT_eff_mod,0.246081894444997,1
ood_combo,DS03,15,Z_zero,6,LPT_eff_mod,0,1
ood_combo,DS03,15,truth,7,LPT_flow_mod,0.253304064493808,1
ood_combo,DS03,15,Z_zero,7,LPT_flow_mod,0,1
ood_combo,DS03,15,truth,8,LPC_eff_mod,NaN,0
ood_combo,DS03,15,Z_zero,8,LPC_eff_mod,0,0
ood_combo,DS03,15,truth,9,LPC_flow_mod,NaN,0
ood_combo,DS03,15,Z_zero,9,LPC_flow_mod,0,0
