cycle,hi_true,hi_pred,band_lo,band_hi,anchor,thr,subset,unit
69,0.22364188761329218,0.25252876524955503,0.2256786711801436,0.26773645519578937,57,0.3,DS01-005_id,4
70,0.24477432835988103,0.2696107493166473,0.2397621878738277,0.28522892343808454,57,0.3,DS01-005_id,4
71,0.25924065589393763,0.2879083869461275,0.2545218634018668,0.30396624090136876,57,0.3,DS01-005_id,4
72,0.26360609767198573,0.30750819113191535,0.27028061944788057,0.324036997118093,57,0.3,DS01-005_id,4
73,0.28414132589119667,0.32850283163688965,0.2873165960743529,0.34553608608323066,57,0.3,DS01-005_id,4
74,0.28702506631427194,0.3509915731444572,0.3056905677558939,0.3685651549105309,57,0.3,DS01-005_id,4
75,0.31970920189942675,0.37508074459153906,0.32538423889871265,0.39323308441733523,57,0.3,DS01-005_id,4
76,0.33717641662610875,0.40088424190203287,0.34647946777998,0.41965650391015097,57,0.3,DS01-005_id,4
77,0.3560570754301853,0.42852406649771513,0.36907600035767585,0.44796034260486994,57,0.3,DS01-005_id,4
78,0.36793175725028326,0.45813090213272006,0.3932806813027779,0.4782784202887415,57,0.3,DS01-005_id,4
79,0.3987641651823135,0.4898447327789222,0.41925580313476984,0.510731371036038,57,0.3,DS01-005_id,4
80,0.4216489909328267,0.5238155044836444,0.4471136460693663,0.5454428695026932,57,0.3,DS01-005_id,4
81,0.4478230997563455,0.5602038343290193,0.47695402143567267,0.5826245993557713,57,0.3,DS01-005_id,4
82,0.4707229302315886,0.5991817698450304,0.5089180182208068,0.6224523537293056,57,0.3,DS01-005_id,4
83,0.5043993227617628,0.6409336024668136,0.5431567661567285,0.6651144360129057,57,0.3,DS01-005_id,4
84,0.5256892221831873,0.6856567388823194,0.5798321502803125,0.7108125501396233,57,0.3,DS01-005_id,4
85,0.5677206533193346,0.7335626343901606,0.6185859669005017,0.7597627542308404,57,0.3,DS01-005_id,4
86,0.5918674790476023,0.7848777926806342,0.6603520174171227,0.8121964821069524,57,0.3,DS01-005_id,4
87,0.6412076945904884,0.8398448367670003,0.7052573234848737,0.8683616374934937,57,0.3,DS01-005_id,4
88,0.6707805614936918,0.8987236561304698,0.7533584394602675,0.9285237660960566,57,0.3,DS01-005_id,4
89,0.7123952491363048,0.961792635502708,0.804882803966109,0.9929673110854933,57,0.3,DS01-005_id,4
90,0.7504481127151296,1.0293499710956788,0.8600740419218389,1.0619969579292814,57,0.3,DS01-005_id,4
91,0.8154235820588621,1.10171508050207,0.9192016337949341,1.1359390749273364,57,0.3,DS01-005_id,4
92,0.8585881177947149,1.1792301129324432,0.9825601133591501,1.2151432562630236,57,0.3,DS01-005_id,4
93,0.9100611321555677,1.2622615669296822,1.0504276832140984,1.2999839748648663,57,0.3,DS01-005_id,4
94,0.9683576016250824,1.3512020232094137,1.1231252458718184,1.3908623528935495,57,0.3,DS01-005_id,4
