tsne1,tsne2,label
-2.7749002,-18.990307,涡轮
-2.379912,-19.827387,涡轮
-2.681381,-20.092205,涡轮
-2.801427,-20.218678,涡轮
-2.3117461,-20.517962,涡轮
-5.4265366,14.428403,正常
-5.9596424,15.910386,正常
-5.7806416,11.033894,正常
-3.2376022,12.924355,风扇
-5.802232,14.412498,风扇
-6.9967785,15.375825,风扇
-7.2841573,13.065946,风扇
-5.8131957,15.412187,风扇
-10.441057,2.1789613,风扇
-6.3971167,9.690895,风扇
-6.409219,16.189056,风扇
-7.6706543,16.31932,风扇
-7.6318345,17.178627,风扇
-6.4585266,17.00399,风扇
-7.185324,16.603985,风扇
-7.6004004,17.974056,风扇
-4.4996376,17.539907,风扇
-5.0670614,17.798649,风扇
-5.734924,18.662144,风扇
-7.2304325,18.873787,风扇
-5.5664043,19.063057,风扇
-3.5563653,18.239513,风扇
6.0976787,12.252304,风扇
6.1881123,12.187996,风扇
6.2526336,12.148072,风扇
-2.507208,-5.716544,正常
-6.2888155,2.407771,正常
-8.670794,1.3832927,正常
-8.470675,3.0565827,正常
-2.5547616,3.9301612,高压压气机
-7.134679,-2.6161644,高压压气机
-5.878874,-3.3574123,高压压气机
3.2764335,-1.8057715,高压压气机
5.186927,-1.5208288,高压压气机
4.841786,2.2435153,高压压气机
7.0843697,1.0477785,高压压气机
8.860237,2.0421767,高压压气机
9.078944,2.8793418,高压压气机
9.842069,2.5051029,高压压气机
10.170049,2.5775297,高压压气机
11.501543,1.7942395,高压压气机
12.432676,2.6184707,高压压气机
12.403176,1.8392297,高压压气机
12.964273,2.2301183,高压压气机
13.722082,2.6892023,高压压气机
13.958999,2.0431654,高压压气机
14.379593,1.8888656,高压压气机
15.678401,2.1679437,高压压气机
16.26165,2.119725,高压压气机
-7.134936,0.32599273,正常
-7.009916,2.6829696,正常
-6.860007,-0.47203135,正常
-6.1775985,-1.0563334,正常
-9.135076,-2.359297,正常
-8.371574,-5.8274593,正常
-3.176178,-1.2821004,正常
-5.717821,3.7640746,正常
1.7453965,7.3582363,涡轮
-2.1768253,2.4740775,涡轮
-10.163379,-2.7137773,涡轮
-0.95259255,11.143097,涡轮
-2.9004097,10.754751,涡轮
-3.7667003,11.634231,涡轮
-2.4723587,11.569465,涡轮
-3.7078004,7.191055,涡轮
-2.0641758,-7.6294165,涡轮
3.1659238,-5.2019644,涡轮
1.1146939,-6.706487,涡轮
1.5558096,-8.659675,涡轮
-2.5451639,-13.045884,涡轮
-2.6599905,-14.696304,涡轮
-4.4451942,-17.325901,涡轮
-4.544196,-18.993608,涡轮
-2.2953033,-5.3738747,正常
-3.78527,2.657906,正常
-4.0754375,2.1004193,正常
-1.0353088,6.671444,正常
-1.6702362,5.890003,正常
-1.3209996,4.9931116,正常
-0.63215494,5.8588147,正常
-0.6535199,4.632811,正常
2.403344,2.8819542,高压压气机
0.9746671,7.359688,高压压气机
3.7133603,1.8974061,高压压气机
3.2159865,1.6949759,高压压气机
2.873916,0.94690216,高压压气机
4.095407,0.6008809,高压压气机
4.6757765,-0.5182695,高压压气机
5.1443543,-0.56020725,高压压气机
4.4911704,1.1236527,高压压气机
5.3942738,1.1978385,高压压气机
6.302833,-0.510823,高压压气机
7.3792024,-4.7013707,高压压气机
7.579066,-3.7931657,高压压气机
8.147673,-4.011744,高压压气机
8.233749,-3.6575747,高压压气机
9.035454,-2.7922223,高压压气机
11.376696,-3.6139627,高压压气机
11.442175,-3.6277053,高压压气机
12.234337,-3.5574877,高压压气机
